LG 01,LG 07,LG 03,small_ind_load_1,small_ind_load_2,load_bus3,load_bus4,load_bus5,load_bus9,load_bus10,load_bus11,load_bus6
13.39,24.814,3.945,0.657366548,0.288619336,0,0,0.003141895,0.036462128,0,0.06579403,0.005497937
13.34,12.664,3.615,0.414187426,0.128433821,0,0,0.000822293,0.031773688,0,0.045363252,0.005093186
12.025,6.801,4.755,0.168161329,0.12201213,0,0,0.001350033,0.036620521,0,0.031442621,0.005121502
5.85,5.151,5.67,0.098362989,0.172672137,0,0,0.000306826,0.034339659,0,0.00886488,0.005040957
9.585,5.251,5.85,0.050794781,0.304316803,0,0.04009206,0.002172326,0.034846517,0,0.007826027,0.00660669
8.35,7.363,5.835,0.003226572,0.19158045,0.001455604,0.084403529,0.042949454,0.039820065,0.087509638,0.079299121,0.00921042
6.915,5.614,6.66,0.245029656,0.125222975,0.312227074,0.147694668,0.186292258,0.186207115,0.188511951,0.150772214,0.011771055
4.88,13.576,9.045,0.694424674,0.125936497,0.661572052,1,0.596438368,0.437387145,0.50925212,0.692360967,0.011126738
3.605,14.014,12.39,0.603036773,0.126650018,0.931222707,0.907188339,0.720629115,0.874077359,1,0.778932059,0.011678718
16.875,20.875,12.045,0.539928826,0.503389226,0.934497817,0.594967395,0.40243865,0.705578611,0.935235158,0.750813768,0.011527393
21.33,22.251,11.805,0.533333333,0.650374599,1,0.58863061,1,0.727595274,0.957208944,0.812660157,0.011695359
20.285,24.625,11.88,0.598386714,0.560827685,0.848617176,0.68566168,0.445308329,1,0.968774094,0.901170441,0.010850986
20.37,23.538,14.58,0.633594306,0.585444167,0.72125182,0.405093978,0.704692591,0.59093357,0.915959907,0.560980677,0.015141602
20.82,24.263,13.44,0.567781732,0.735997146,0.929403202,0.546421174,0.892862622,0.750435581,0.873939861,0.949996537,0.014061837
20.52,23.301,13.14,0.554970344,0.743845879,0.764919942,0.500007672,0.779435318,0.699939811,0.880107941,1,0.011525499
20.65,24.202,13.65,0.522135231,0.75026757,0.806040757,0.455726889,0.829417215,0.768524092,0.887432537,0.766258051,0.011794263
20.825,25.563,13.56,0.676868327,0.809133072,0.626273654,0.151914077,0.878429544,0.180093135,0.782960678,0.151880324,0.013786473
19.945,29.314,12.975,0.716109134,0.781662504,0.411208151,0.004234753,0.300308667,0.027148605,0.582112567,0.141630307,0.0150488
19.34,28.163,6.735,0.876251483,0.827327863,0.058588064,0.066467204,0.707085831,0.011784458,0.149575944,0.114689383,0.014606887
21.565,28.626,5.415,1,0.881912237,0,0.128699655,0.519824005,0.006082301,0.001927525,0.126324538,0.015320775
23.39,27.888,4.005,0.911743772,0.874420264,0,0.086513234,0.808694211,0.001203789,0,0.120991758,0.012071088
24.54,27.888,3.75,0.861874259,0.926864074,0,0.044326812,0.539430163,0.006082301,0,0.112403906,0.008901917
22.85,26.563,3.66,0.798102017,1,0,0.043268124,0.217563927,0.002882757,0,0.096405568,0.00672669
15.995,28.451,3.6,0.847164887,0.368890474,0,0.042209436,0,0,0,0.091003532,0.005641321
