LG 01,LG 07,LG 03,small_ind_load_1,small_ind_load_2,load_bus3,load_bus4,load_bus5,load_bus9,load_bus10,load_bus11,load_bus6,,,,,,
13.39,24.814,3.945,0.657366548,0.288619336,0.079257016,0.117598841,0.791800948,0.289271099,0.038282443,0.10265206,0.005497937,,,,,,
13.34,12.664,3.615,0.414187426,0.128433821,0.090985882,0.117598519,0.791767084,0.288896152,0.038019967,0.094488291,0.005093186,,,,,,
12.025,6.801,4.755,0.168161329,0.12201213,0.079801699,0.117597174,0.791252367,0.289646919,0.033040079,0.093201833,0.005121502,,,,,,
5.85,5.151,5.67,0.098362989,0.172672137,0.09147869,0.117595684,0.790208105,0.289271664,0.032902816,0.09200549,0.005040957,,,,,,
9.585,5.251,5.85,0.050794781,0.304316803,0.107771634,0.11972039,0.882729737,0.301869923,0.034441225,0.113424541,0.00660669,,,,,,
8.35,7.363,5.835,0.003226572,0.19158045,0.158144185,0.119375728,0.882735426,0.350860684,0.038562999,0.112710039,0.00921042,,,,,,Ind loads
6.915,5.614,6.66,0.245029656,0.125222975,0.203124014,0.19153895,1.099812391,0.427521744,0.059447458,0.161088913,0.011771055,,,,,,commercial loads
4.88,13.576,9.045,0.694424674,0.125936497,0.221099726,0.365271115,1.212212612,0.542935711,0.076302966,0.162444583,0.011126738,,,,,,Residentia loads
3.605,14.014,12.39,0.603036773,0.126650018,0.216650161,0.442639009,1.241299334,1.048236192,0.098287719,0.218054768,0.011678718,,,,,,
16.875,20.875,12.045,0.539928826,0.503389226,0.225471366,0.442686406,1.274596127,1.011530544,0.080991083,0.244471175,0.011527393,,,,,,
21.33,22.251,11.805,0.533333333,0.650374599,0.222816751,0.448695297,1.282032597,0.962614076,0.053906732,0.234746064,0.011695359,,,,,,
20.285,24.625,11.88,0.598386714,0.560827685,0.220890427,0.449527411,1.291409542,0.962591964,0.051335648,0.26402492,0.010850986,,,,,,
20.37,23.538,14.58,0.633594306,0.585444167,0.207402457,0.448446667,1.256236085,0.912766136,0.051523654,0.245724092,0.015141602,,,,,,
20.82,24.263,13.44,0.567781732,0.735997146,0.218213692,0.442443801,1.292050606,0.962563266,0.051542488,0.243734841,0.014061837,,,,,,
20.52,23.301,13.14,0.554970344,0.743845879,0.216961814,0.442432477,1.293001335,0.962544511,0.05144558,0.239887299,0.011525499,,,,,,
20.65,24.202,13.65,0.522135231,0.75026757,0.216236335,0.434514424,1.294401658,0.962531427,0.051300145,0.236896705,0.011794263,,,,,,
20.825,25.563,13.56,0.676868327,0.809133072,0.22076639,0.435380901,1.307692861,1.028514535,0.057409141,0.241164946,0.013786473,,,,,,
19.945,29.314,12.975,0.716109134,0.781662504,0.229835807,0.367535207,1.321129492,0.949858256,0.072837354,0.251447796,0.0150488,,,,,,
19.34,28.163,6.735,0.876251483,0.827327863,0.132861928,0.367544122,1.055287778,0.750536921,0.088734988,0.249123829,0.014606887,,,,,,
21.565,28.626,5.415,1,0.881912237,0.133468697,0.367548284,1.047848089,0.726098635,0.090448536,0.228986876,0.015320775,,,,,,
23.39,27.888,4.005,0.911743772,0.874420264,0.109984265,0.367613666,0.911573779,0.576619907,0.097378818,0.202664202,0.012071088,,,,,,
24.54,27.888,3.75,0.861874259,0.926864074,0.087411168,0.11755609,0.869998467,0.552182489,0.095068258,0.144287124,0.008901917,,,,,,
22.85,26.563,3.66,0.798102017,1,0.062840682,0.117594249,0.787482055,0.349356868,0.070592464,0.095584005,0.00672669,,,,,,
15.995,28.451,3.6,0.847164887,0.368890474,0.076339521,0.118614922,0.793758193,0.299992109,0.045398421,0.129012898,0.005641321,,,,,,
